symbol,name,id
'ALC','Assisted Living Concpt',NULL
'ALCO','Alico Inc',8907
'ALDA','Aldila Inc',52242
'ALE','Allete Inc',11804
'ALEX','Alexander & Baldwin',878739
'ALG','Alamo Group Inc',5734
'ALGN','Align Technology Inc',80922
'ALGT','Allegiant Travel Co',708744
'ALJ','Alon Usa Energy Inc',673482
'ALK','Alaska Airgroup',1228
'ALKS','Alkermes Inc',854868
'ALL','Allstate Corp',9797
'ALLP','Alliance Pharmaceuti',NULL
'ALNC','Alliance Financial C',NULL
'ALNY','Alnylam Pharmaceutic',375375
'ALOG','Analogic Corp',8785
'ALOT','Astro Med Inc New',9911
'ALOY','Alloy Inc',NULL
'ALSE','Alseres Pharmaceuticals',4713
'ALSK','Alaska Communication',87
'ALTH','Allos Therapeutics I',NULL
'ALTI','Altair Nanotechnolog',4298
'ALTR','Altera Corp',4379
'ALTU','Altus Pharmaceutical',NULL
'ALX','Alexanders Inc',11522
'ALXA','Alexza Pharmaceutica',694307
'ALXN','Alexion Pharmaceutic',2919
'ALY','Allis Chalmers Corp',NULL
'AM','American Greetings',926666
'AMAC','Amer Medical Alert',NULL
'AMAG','Amag Pharmaceuticals In',7262
'AMAR','Amarillo Biosciences',3813
'AMAT','Applied Materials In',2730
'AMB','Amb Property Corp.',NULL
'AMCC','Applied Micro Circuits',9399
'AMCS','Amicas Inc',NULL
'AMD','Advanced Micro Devic',10934
'AME','Ametek Inc New',6134
'AMED','Amedisys Inc',2476
'AMFI','Amcore Finl Inc',NULL
'AMG','Affiliated Managers',3249
'AMGN','Amgen',2668
'AMIC','American Independenc',11992
'AMIE','Ambassadors Intl Inc',NULL
'AMIN','American Intl Indust',57559
'AMKR','Amkor Technology Inc',7044
'AMLJ','Aml Communications I',NULL
'AMLN','Amylin Pharmaceutica',NULL
'AMMD','American Med Sys Hld',NULL
'AMN','Ameron Inc',NULL
'AMNB','American Natl Banksh',4992
'AMOT','Allied Motion Techno',6560
'AMP','Ameriprise Finl Inc',14081
'AMPH','American Physicians',663987
'AMPL','Ampal Amern Israel',NULL
'AMR','Amr Corp',NULL
'AMRB','American Riv Hldgs',73780
'AMRI','Albany Molecular Res',5472
'AMS','American Shared Hosp',6464
'AMSC','American Superconduc',11268
'AMSF','Amerisafe Inc',32163
'AMSG','Amsurg Corp',8302
'AMSW.A','American Software In',8302
'AMT','American Tower Sys C',2533
'AMTD','Td Ameritrade Hldg C',110430
'AMTY','Amerityre Corp',11764
'AMWD','American Woodmark Co',7224
'AMZN','Amazon Com Inc',7235
'AN','Autonation Inc',266
'ANAD','Anadigics Inc',6898
'ANAT','American Natl Ins Co',379491
'ANCI','American Caresource',664408
'ANCX','Access Natl Corp',374232
'ANDE','Andersons Inc',10981
'ANDR','Andrea Radio Corp',1781
'ANDS','Anadys Pharmaceutica',NULL
'ANEN','Anaren Inc',NULL
'ANF','Abercrombie & Fitch',6231
'ANGN','Angeion Corp',NULL
'ANGO','Angiodynamics Inc',625899
'ANH','Anworth Mtge Assets',590
'ANIK','Anika Resh Inc',217
'ANLY','Analysts Intl Corp',NULL
'ANN','Ann Taylor Stores Co',16384
'ANR','Alpha Natural Resour',NULL
'ANSS','Ansys Inc',4309
'ANSV','Anesiva Inc Com',NULL
'ANSW','Answers Corp',NULL
'ANTF','Ante4 Inc',NULL
'ANTP','Phazar Corp',NULL
'ANV','Allied Nevada Gold Corp',NULL
'ANX','Adventrx Pharmaceuti',NULL
'AOI','Alliance One Intl In',11103
'AOL','Aol Inc',NULL
'AON','Aon Corp',1928
'AONE','A123 Sys Inc',NULL
'AOS','Smith A O Corp b',1553
'AP','Ampco-Pittsburgh Cor',10196
'APA','Apache Corp',3940
'APAB','Appalachian Bancshar',NULL
'APAC','Apac Teleservices In',NULL
'APAG.F','Apco Oil & Gas Internat',NULL
'APC','Anadarko Pete Corp',940
'APD','Air Prods & Chems In',7570
'APEI','American Public Educati',384614
'APFC','American Pac Corp',NULL
'APH','Amphenol Corp New',6530
'API','Advanced Photonix In',NULL
'APKT','Acme Packet Inc',NULL
'APL','Atlas Pipeline Partn',NULL
'APOG','Apogee Enterprises',11973
'APOL','Apollo Group Inc',8112
'APP','American Apparel Inc',685793
'APPA','Ap Pharma Inc',NULL
'APPY','Aspenbio Inc',97862
'APSG','Applied Signal Techn',NULL
'APU','Amerigas Partners L',6773
'APY','Aspyra Inc',NULL
'ARAY','Accuray Inc',104630
'ARB','Arbitron',NULL
'ARBA','Ariba Inc',NULL
'ARBX','Arbinet Thexchange I',NULL
'ARCI','Appliance Recycling',8511
'ARD','Arena Resources Inc',NULL
'ARDN.A','Arden Group Inc',NULL
'ARE','Alexandria Real Esta',11440
'AREX','Approach Resources Inc',750671
'ARG','Airgas Inc',3632
'ARGN','Amerigon Inc',NULL
'ARI','Apollo Coml Real Est Fi',808272
'ARIA','Ariad Pharmaceutical',7040
'ARII','American Railcar Ind',693099
'ARJ','Arch Chemicals Inc',NULL
'ARKR','Ark Restaurants Corp',7048
'ARL','American Rlty Invs I',70581
'ARLP','Alliance Resource Pa',9984
'ARM','Arvinmeritor Inc',NULL
'ARNA','Arena Pharmaceutical',75691
'ARO','Aeropostale',100394
'AROW','Arrow Finl Corp',2236
'ARP','American Reprographi',866039
'ARQL','Arqule Inc',6790
'ARRS','Arris Group Inc',86730
'ARRY','Array Biopharma Inc',79472
'ARSD','Arabian Shield Dev',NULL
'ARST','Arcsight Inc',NULL
'ART','Artio Global Invs Inc',NULL
'ARTG','Art Technology Group',NULL
'ARTN.A','Artesian Res Corp',NULL
'ARTW','Arts Way Mfg Inc',4281
'ARTX','Arotech Corp',4613
'ARUN','Aruba Networks Inc',NULL
'ARW','Arrow Electrs Inc',10480
'ARWD','Arrow Res Dev Inc',5541
'ARWR','Arrowhead Resh Corp',9230
'ARYX','Aryx Therapeutics Inc',755663
'ASB','Advansource Biomaterial',2033
'ASBC','Associated Banc Corp',NULL
'ASCA','Ameristar Casinos In',NULL
'ASCM.A','Ascent Media Corp',NULL
'ASEI','American Science &En',9591
'ASF','Administaff Inc',NULL
'ASFI','Asta Fdg Inc',7749
'ASFN','Atlantic Southern Fi',NULL
'ASGN','On Assignment Inc',7718
'ASGR','America Svc Group In',NULL
'ASH','Ashland Inc New',652025
'ASI','American Safety Ins',NULL
'ASPS','Altisource Portfolio So',804734
'ASRV','Ameriserv Finl Inc',2158
'ASTC','Astrotech Corp',712
'ASTE','Astec Inds Inc',11104
'ASTI','Ascent Solar Technol',696833
'ASTM','Aastrom Biosciences',NULL
'ASUR','Asure Software Inc',9175
'ASYS','Amtech Sys Inc',9297
'ASYT','Asyst Technology Cor',NULL
'ATAC','Atc Technology Corp',NULL
'ATC','Cycle Ctry Accessori',NULL
'ATCO','American Technology',NULL
'ATEA','Astea Intl Inc',297
'ATEC','Alphatec Holdings In',698514
'ATGN','Altigen Communicatio',6104
'ATHN','Athenahealth Inc',159787
'ATHR','Atheros Communicatio',NULL
'ATI','Allegheny Technologi',4515
'ATK','Alliant Techsystems',NULL
'ATLO','Ames Natl Corp',82710
'ATLS','Atlas Energy Inc',948657
'ATMI','Atmi Inc',NULL
'ATML','Atmel Corp',3250
'ATNI','Atlantic Tele Networ',11153
'ATO','Atmos Energy Corp',1518
'ATPG','Atp Oil & Gas Corp',NULL
'ATR','Aptargroup Inc',2149
'ATRC','Atricure Inc',671172
'ATRI','Atrion Corp',6807
'ATRM','Aetrium Inc',1006
'ATRN','Atrinsic Inc',10510
'ATRO','Astronics Corp',8929
'ATSG','Air Trans Hldgs Inc',25207
'ATSI','Ats Med Inc',NULL
'ATU','Actuant Corp',1718
'ATVI','Activision Blizzard Inc',9358
'ATW','Atwood Oceanics Inc',9793
'ATX','Cross A T Co',NULL
'AURD.Q','Accuride Corp',NULL
'AUTH','Authentec Inc',NULL
'AUXL','Auxilium Pharmaceuti',NULL
'AVA','Avista Corp',12708
'AVAV','Aerovironment Inc',722088
'AVB','Avalonbay Cmntys Inc',11282
'AVCA','Advocat Inc',NULL
'AVD','American Vanguard Co',5024
'AVID','Avid Technology Inc',3925
'AVII','Avi Biopharma Inc',NULL
'AVNR','Avanir Pharmaceutica',NULL
'AVNW','Aviat Networks Inc',723464
'AVP','Avon Prods Inc',1328
'AVR','Aventine Renewable E',NULL
'AVSR','Avistar Communicatio',76794
'AVT','Avnet Inc',7983
'AVTR','Avatar Hlds Inc',NULL
'AVX','Avx Corp New',461
'AVXT','Avax Technologies In',7537
'AVY','Avery Dennison Corp',11656
'AVZA','Aviza Technology Inc',NULL
'AWBC','Americanwest Bancorp',NULL
'AWH','Allied Wrld Assuranc',131531
'AWI','Armstrong World Inds',462
'AWK','American Wtr Wks Co Inc',755335
'AWR','American Sts Wtr Co',6995
'AWRE','Aware Inc Mass',5757
'AWX','Avalon Hldgs Corp',11742
'AXAS','Abraxas Pete Corp',8073
'AXE','Anixter Intl Inc',6085
'AXK','Accelreight Technolo',NULL
'AXL','American Axle & Mfg',11434
'AXP','American Express Co',8450
'AXR','Amrep Corp New',7501
'AXS','Axis Capital Holding',392127
'AXSI','Axcess Inc',NULL
'AXST','Axesstel Inc',69241
'AXTI','Axt Inc',8428
'AYE','Allegheny Energy Inc',NULL
'AYI','Acuity Brands Inc',88293
'AYR','Aircastle Ltd',710699
'AZO','Autozone Inc',5925
'AZZ','Azz Inc',11524
'B','Barnes Group Inc',9112
'BA','Boeing Co',11757
'BABY','Natus Medical Inc De',78596
'BAC','Bank Amer Corp',15519
'BAGL','Einstein Noah Rest Grou',NULL
'BAMM','Books-A-Million Inc',1609
'BANF','Bancfirst Corp',6999
'BANR','Banner Corp',2222
'BARE','Bare Escentuals Inc',NULL
'BARI','Bancorp Rhode Island',NULL
'BAS','Basic Energy Svcs In',74487
'BAX','Baxter Intl Inc',9422
'BAYN','Bay Natl Corp',67733
'BBBB','Blackboard Inc',NULL
'BBBY','Bed Bath & Beyond In',6869
'BBEP','Breitburn Energy Par',708572
'BBG','Barrett Bill Corp',108504
'BBGI','Beasley Broadcast Gr',69525
'BBI','Blockbuster Inc',NULL
'BBND','Bigband Networks Inc',NULL
'BBNK','Bridge Cap Hldgs',NULL
'BBOX','Black Box Corp Del',4311
'BBSI','Barrett Business Ser',6838
'BBT','Bb&T Corp',9729
'BBW','Build A Bear Worksho',146361
'BBX','Bankatlantic Bancorp',8580
'BBY','Best Buy Inc',11055
'BC','Brunswick Corp',11459
'BCO','Brinks Co',6113
'BCON','Beacon Power Corp',NULL
'BCPC','Balchem Corp',4246
'BCR','Bard C R Inc',2734
'BCRX','Biocryst Pharmaceu',11945
'BCSI','Blue Coat Systems In',NULL
'BCST','Broadcast Intl Inc N',NULL
'BDC','Belden Cdt Inc',2365
'BDCO','Blue Dolphin Energy',4260
'BDGE','Bridge Bancorp Inc',5193
'BDK','Black & Decker Mfg',NULL
'BDN','Brandywine Rlty Tr',8858
'BDR','Blonder Tongue Labs',10673
'BDSI','Biodelivery Sciences',71016
'BDX','Becton Dickinson',7018
'BEAT','Cardionet Inc',904857
'BEAV','Be Aerospace Inc',1194
'BEBE','Bebe Stores Inc',295
'BEC','Beckman Coulter Inc',NULL
'BECN','Beacon Roofing Suppl',374262
'BEE','Strategic Hotel Cap',242156
'BELF.B','Bel Fuse Inc',242156
'BEN','Franklin Res Inc',8481
'BERK','Berkshire Bancorp In',1598
'BEXP','Brigham Exploration',NULL
'BEZ','Baldor Elec Co',NULL
'BF.B','Brown Forman Dst b',NULL
'BFED','Beacon Fed Bancorp Inc',NULL
'BFIN','Bankfinancial Corp',650233
'BFLY','Bluefly Inc',NULL
'BFNB','Beach First National',NULL
'BFRM','Bioform Medical Inc',NULL
'BFS','Saul Ctrs Inc',1919
'BFSB','Brooklyn Federal Ban',NULL
'BG','Bunge Limited',88528
'BGC','General Cable Corp D',5885
'BGCP','Bgc Partners Inc',67609
'BGFV','Big 5 Sporting Goods',89980
'BGG','Briggs & Stratton Co',7022
'BGH','Buckeye Gp Holdings',856112
'BGP','Borders Group Inc',NULL
'BGS','B & G Foods Inc New',620569
'BHB','Bar Hbr Bankshares',11228
'BHE','Benchmark Electrs In',4079
'BHI','Baker Hughes Inc',4375
'BHIP','Natural Health Trend',NULL
'BHLB','Berkshire Hills Banc',74073
'BHS','Brookfield Homes Cor',NULL
'BID','Sothebys Hldgs Inc',1323
'BIDZ','Bidz Com Inc',NULL
'BIG','Big Lots Inc',10596
'BIIB','Biogen Idec Inc',9708
'BIO','Bio Rad Labs Inc',10455
'BIOC','Bioclinica Inc',177692
'BIOD','Biodel Inc',669199
'BIOF','Biofuel Energy Corp',NULL
'BIOS','Bioscript Inc',9001
'BIP.U','Brookfield Infrast Part',9001
'BITS','Bitstream Inc',NULL
